name;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;id;uri;track_href;analysis_url;duration_ms;time_signature
There's Nothing Holdin' Me Back;0.866;0.813;11;-4.063;0;0.0554;0.38;0.0;0.0779;0.969;121.998;audio_features;7JJmb5XwzOO8jgpou264Ml;spotify:track:7JJmb5XwzOO8jgpou264Ml;https://api.spotify.com/v1/tracks/7JJmb5XwzOO8jgpou264Ml;https://api.spotify.com/v1/audio-analysis/7JJmb5XwzOO8jgpou264Ml;199440;4
I Believe I'm Fine;0.711;0.747;10;-6.165;0;0.061;0.271;0.0;0.328;0.572;100.01;audio_features;2i3WO0WkrlnrA1I4GdUmxh;spotify:track:2i3WO0WkrlnrA1I4GdUmxh;https://api.spotify.com/v1/tracks/2i3WO0WkrlnrA1I4GdUmxh;https://api.spotify.com/v1/audio-analysis/2i3WO0WkrlnrA1I4GdUmxh;227720;4
Really Don't Care;0.706;0.728;7;-3.602;1;0.0852;0.123;0.0;0.185;0.851;121.017;audio_features;5vTPxzm4h2bY9rYyVrGEU5;spotify:track:5vTPxzm4h2bY9rYyVrGEU5;https://api.spotify.com/v1/tracks/5vTPxzm4h2bY9rYyVrGEU5;https://api.spotify.com/v1/audio-analysis/5vTPxzm4h2bY9rYyVrGEU5;201600;4
Space for Two;0.477;0.6;4;-6.363;1;0.0835;0.466;0.0;0.0688;0.486;159.972;audio_features;2vNyWYQtbrgOKcSG64SZMJ;spotify:track:2vNyWYQtbrgOKcSG64SZMJ;https://api.spotify.com/v1/tracks/2vNyWYQtbrgOKcSG64SZMJ;https://api.spotify.com/v1/audio-analysis/2vNyWYQtbrgOKcSG64SZMJ;206311;4
Why Try;0.443;0.663;8;-5.946;0;0.0432;0.0494;0.0;0.153;0.331;159.856;audio_features;40fHWRL8bKcl5J4t4OKUiW;spotify:track:40fHWRL8bKcl5J4t4OKUiW;https://api.spotify.com/v1/tracks/40fHWRL8bKcl5J4t4OKUiW;https://api.spotify.com/v1/audio-analysis/40fHWRL8bKcl5J4t4OKUiW;211880;4
It's a Raggy Waltz;0.465;0.404;8;-13.324;1;0.0411;0.664;0.0173;0.115;0.637;165.064;audio_features;1LH3R7OkZFtlALGtmpGXPb;spotify:track:1LH3R7OkZFtlALGtmpGXPb;https://api.spotify.com/v1/tracks/1LH3R7OkZFtlALGtmpGXPb;https://api.spotify.com/v1/audio-analysis/1LH3R7OkZFtlALGtmpGXPb;311800;3
Cafuné;0.534;0.178;9;-11.559;1;0.0656;0.809;0.0;0.111;0.691;201.575;audio_features;7zjKBYb0C2NxGWLBmrveQl;spotify:track:7zjKBYb0C2NxGWLBmrveQl;https://api.spotify.com/v1/tracks/7zjKBYb0C2NxGWLBmrveQl;https://api.spotify.com/v1/audio-analysis/7zjKBYb0C2NxGWLBmrveQl;122970;4
Cross Your Mind;0.626;0.795;1;-3.963;1;0.0451;0.0154;0.0;0.35;0.758;123.995;audio_features;7B0jvve829GGdU5kFttQTY;spotify:track:7B0jvve829GGdU5kFttQTY;https://api.spotify.com/v1/tracks/7B0jvve829GGdU5kFttQTY;https://api.spotify.com/v1/audio-analysis/7B0jvve829GGdU5kFttQTY;228767;4
3am;0.819;0.423;2;-10.985;1;0.135;0.0365;0.0;0.102;0.174;141.04;audio_features;74ApTVJtZx6Eq2YI7FwRYA;spotify:track:74ApTVJtZx6Eq2YI7FwRYA;https://api.spotify.com/v1/tracks/74ApTVJtZx6Eq2YI7FwRYA;https://api.spotify.com/v1/audio-analysis/74ApTVJtZx6Eq2YI7FwRYA;212091;4
Make That Money Girl;0.539;0.433;11;-8.84;1;0.0307;0.00431;0.000895;0.282;0.114;85.042;audio_features;1DJY8zj0Cbglv1kMjDivke;spotify:track:1DJY8zj0Cbglv1kMjDivke;https://api.spotify.com/v1/tracks/1DJY8zj0Cbglv1kMjDivke;https://api.spotify.com/v1/audio-analysis/1DJY8zj0Cbglv1kMjDivke;198880;4
Addicted To A Memory;0.66;0.762;1;-4.939;0;0.0442;0.000983;0.0242;0.145;0.0659;128.008;audio_features;0xTGfdrWzJLKRD4U6hxSsg;spotify:track:0xTGfdrWzJLKRD4U6hxSsg;https://api.spotify.com/v1/tracks/0xTGfdrWzJLKRD4U6hxSsg;https://api.spotify.com/v1/audio-analysis/0xTGfdrWzJLKRD4U6hxSsg;303160;4
Linda, Louca e Mimada;0.657;0.433;1;-12.505;0;0.301;0.765;3.33e-06;0.385;0.626;114.273;audio_features;1rcZKMWbCac4FDnUvtYfyK;spotify:track:1rcZKMWbCac4FDnUvtYfyK;https://api.spotify.com/v1/tracks/1rcZKMWbCac4FDnUvtYfyK;https://api.spotify.com/v1/audio-analysis/1rcZKMWbCac4FDnUvtYfyK;202617;5
Blame It on Your Love (feat. Lizzo);0.716;0.757;5;-2.666;1;0.0487;0.0249;0.0;0.286;0.558;100.007;audio_features;1MfuskV4ODUp14C2dnyPgW;spotify:track:1MfuskV4ODUp14C2dnyPgW;https://api.spotify.com/v1/tracks/1MfuskV4ODUp14C2dnyPgW;https://api.spotify.com/v1/audio-analysis/1MfuskV4ODUp14C2dnyPgW;191114;4
New York City;0.522;0.853;0;-7.66;1;0.0362;0.071;2.82e-05;0.343;0.455;107.943;audio_features;7xuu4ByQkm8qhnwJQk994r;spotify:track:7xuu4ByQkm8qhnwJQk994r;https://api.spotify.com/v1/tracks/7xuu4ByQkm8qhnwJQk994r;https://api.spotify.com/v1/audio-analysis/7xuu4ByQkm8qhnwJQk994r;210559;4
buy me diamonds;0.418;0.85;10;-2.297;0;0.104;0.0824;2.4e-06;0.0621;0.543;96.358;audio_features;7uki6xMVoqcnF5BnMakRuk;spotify:track:7uki6xMVoqcnF5BnMakRuk;https://api.spotify.com/v1/tracks/7uki6xMVoqcnF5BnMakRuk;https://api.spotify.com/v1/audio-analysis/7uki6xMVoqcnF5BnMakRuk;193840;4
Jogação;0.797;0.95;9;-5.871;0;0.0733;0.202;0.000173;0.0824;0.732;128.049;audio_features;2MKiL2LuTQfVfGKdbmYze3;spotify:track:2MKiL2LuTQfVfGKdbmYze3;https://api.spotify.com/v1/tracks/2MKiL2LuTQfVfGKdbmYze3;https://api.spotify.com/v1/audio-analysis/2MKiL2LuTQfVfGKdbmYze3;154403;4
