name;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;id;uri;track_href;analysis_url;duration_ms;time_signature
Better When I'm Dancin';0.756;0.789;2;-7.002;1;0.0324;0.53;0.000711;0.157;0.873;127.987;audio_features;5k5fWendNngd89O8JKoE8L;spotify:track:5k5fWendNngd89O8JKoE8L;https://api.spotify.com/v1/tracks/5k5fWendNngd89O8JKoE8L;https://api.spotify.com/v1/audio-analysis/5k5fWendNngd89O8JKoE8L;176267;4
Let Me Love You;0.649;0.716;8;-5.371;1;0.0349;0.0863;2.63e-05;0.135;0.163;99.988;audio_features;0lYBSQXN6rCTvUZvg9S0lU;spotify:track:0lYBSQXN6rCTvUZvg9S0lU;https://api.spotify.com/v1/tracks/0lYBSQXN6rCTvUZvg9S0lU;https://api.spotify.com/v1/audio-analysis/0lYBSQXN6rCTvUZvg9S0lU;205947;4
Piece Of Your Heart - Alok Remix;0.797;0.86;10;-4.38;0;0.0413;0.0312;0.0137;0.334;0.192;124.033;audio_features;6iW38RGqdDGOofmz2HeXLW;spotify:track:6iW38RGqdDGOofmz2HeXLW;https://api.spotify.com/v1/tracks/6iW38RGqdDGOofmz2HeXLW;https://api.spotify.com/v1/audio-analysis/6iW38RGqdDGOofmz2HeXLW;166452;4
Sei Lá;0.661;0.43;6;-8.738;1;0.0422;0.519;0.0;0.111;0.962;151.955;audio_features;6l1PdE7lQbodewVQh16GCM;spotify:track:6l1PdE7lQbodewVQh16GCM;https://api.spotify.com/v1/tracks/6l1PdE7lQbodewVQh16GCM;https://api.spotify.com/v1/audio-analysis/6l1PdE7lQbodewVQh16GCM;190364;3
Don't Tell 'Em;0.856;0.527;2;-5.225;1;0.0997;0.392;0.0;0.11;0.386;98.052;audio_features;0Dc7J9VPV4eOInoxUiZrsL;spotify:track:0Dc7J9VPV4eOInoxUiZrsL;https://api.spotify.com/v1/tracks/0Dc7J9VPV4eOInoxUiZrsL;https://api.spotify.com/v1/audio-analysis/0Dc7J9VPV4eOInoxUiZrsL;266840;4
Them Girls Be Like;0.804;0.742;6;-3.894;1;0.0284;0.317;0.0;0.341;0.916;95.019;audio_features;53wOz83HJpPO9okzp0IsLa;spotify:track:53wOz83HJpPO9okzp0IsLa;https://api.spotify.com/v1/tracks/53wOz83HJpPO9okzp0IsLa;https://api.spotify.com/v1/audio-analysis/53wOz83HJpPO9okzp0IsLa;162627;4
The Mack;0.711;0.882;0;-4.276;1;0.0576;0.0626;0.0;0.226;0.56;106.017;audio_features;2fUZ3aMp8amSaV0mp8s6rQ;spotify:track:2fUZ3aMp8amSaV0mp8s6rQ;https://api.spotify.com/v1/tracks/2fUZ3aMp8amSaV0mp8s6rQ;https://api.spotify.com/v1/audio-analysis/2fUZ3aMp8amSaV0mp8s6rQ;167038;4
Double Trouble;0.566;0.424;7;-8.689;0;0.0392;0.669;0.00456;0.175;0.431;105.768;audio_features;7pzDaHQx6WFWtdx9PLPxcx;spotify:track:7pzDaHQx6WFWtdx9PLPxcx;https://api.spotify.com/v1/tracks/7pzDaHQx6WFWtdx9PLPxcx;https://api.spotify.com/v1/audio-analysis/7pzDaHQx6WFWtdx9PLPxcx;163440;1
Perfect Duet (Ed Sheeran & Beyoncé);0.587;0.299;8;-7.365;1;0.0263;0.779;0.0;0.123;0.356;94.992;audio_features;1bhUWB0zJMIKr9yVPrkEuI;spotify:track:1bhUWB0zJMIKr9yVPrkEuI;https://api.spotify.com/v1/tracks/1bhUWB0zJMIKr9yVPrkEuI;https://api.spotify.com/v1/audio-analysis/1bhUWB0zJMIKr9yVPrkEuI;259550;3
Sun Goes Down;0.838;0.752;8;-5.434;0;0.034;0.389;0.00113;0.0822;0.901;121.958;audio_features;2JpTwRVXioTZSdizBGAhUH;spotify:track:2JpTwRVXioTZSdizBGAhUH;https://api.spotify.com/v1/tracks/2JpTwRVXioTZSdizBGAhUH;https://api.spotify.com/v1/audio-analysis/2JpTwRVXioTZSdizBGAhUH;203586;4
Envolvimento;0.852;0.902;10;-4.669;0;0.159;0.447;0.0;0.0349;0.965;164.971;audio_features;1Wolb8MRcXR2IMMaELTRpE;spotify:track:1Wolb8MRcXR2IMMaELTRpE;https://api.spotify.com/v1/tracks/1Wolb8MRcXR2IMMaELTRpE;https://api.spotify.com/v1/audio-analysis/1Wolb8MRcXR2IMMaELTRpE;146526;4
